ts,data_analogInput_4,data_temperatureSensor_0,data_humiditySensor_1
2022-02-17 00:03:59,0,0,0
2022-02-17 00:13:59,0,0,0
2022-02-17 00:23:59,0,0,0
2022-02-17 00:33:59,0,0,0
2022-02-17 00:43:59,0,0,0
2022-02-17 00:53:59,0,0,0
2022-02-17 01:03:59,0,0,0
2022-02-17 01:13:59,0,0,0
2022-02-17 01:23:59,0,0,0
2022-02-17 01:33:59,0,0,0
2022-02-17 01:43:58,0,0,0
2022-02-17 01:53:59,0,0,0
2022-02-17 02:03:59,0,0,0
2022-02-17 02:13:58,0,0,0
2022-02-17 02:23:58,0,0,0
2022-02-17 02:33:58,0,0,0
2022-02-17 02:43:58,0,0,0
2022-02-17 02:53:58,0,0,0
2022-02-17 03:03:58,0,0,0
2022-02-17 03:13:58,0,0,0
2022-02-17 03:23:58,0,0,0
2022-02-17 03:33:58,0,0,0
2022-02-17 03:43:58,0,0,0
2022-02-17 03:53:58,0,0,0
2022-02-17 04:03:58,0,0,0
2022-02-17 04:13:58,0,0,0
2022-02-17 04:23:58,0,0,0
2022-02-17 04:33:58,0,0,0
2022-02-17 04:43:58,0,0,0
2022-02-17 04:53:58,0,0,0
2022-02-17 05:03:58,0,0,0
2022-02-17 05:13:58,0,0,0
2022-02-17 05:23:58,0,0,0
2022-02-17 05:33:58,0,0,0
2022-02-17 05:43:58,0,0,0
2022-02-17 05:53:58,0,0,0
2022-02-17 06:03:58,0,0,0
2022-02-17 06:13:58,0,0,0
2022-02-17 06:23:58,0,0,0
2022-02-17 06:33:58,0,0,0
2022-02-17 06:43:58,0,0,0
2022-02-17 06:53:58,0,0,0
2022-02-17 07:03:58,0,0,0
2022-02-17 07:13:58,0,0,0
2022-02-17 07:23:58,0,0,0
2022-02-17 07:33:58,0,0,0
2022-02-17 07:43:58,0,0,0
2022-02-17 07:53:58,0,0,0
2022-02-17 08:03:58,0,0,0
2022-02-17 08:13:58,0,0,0
2022-02-17 08:23:58,0,0,0
2022-02-17 08:33:58,0,0,0
2022-02-17 08:43:58,0,0,0
2022-02-17 08:53:58,0,0,0
2022-02-17 09:03:58,0,0,0
2022-02-17 09:13:58,0,0,0
2022-02-17 09:21:57,1,0,0
2022-02-17 09:21:59,1,0,0
2022-02-17 09:24:05,0,0,0
2022-02-17 09:24:07,0,0,0
2022-02-17 09:34:07,0,0,0
2022-02-17 09:44:07,0,0,0
2022-02-17 09:54:07,0,0,0
2022-02-17 09:59:54,1,0,0
2022-02-17 09:59:56,1,0,0
2022-02-17 10:00:34,0,0,0
2022-02-17 10:00:36,0,0,0
2022-02-17 10:10:36,0,0,0
2022-02-17 10:20:36,0,0,0
2022-02-17 10:30:36,0,0,0
2022-02-17 10:36:00,1,0,0
2022-02-17 10:36:02,1,0,0
2022-02-17 10:36:46,0,0,0
2022-02-17 10:36:47,0,0,0
2022-02-17 10:46:47,0,0,0
2022-02-17 10:56:47,0,0,0
2022-02-17 11:06:47,0,0,0
2022-02-17 11:16:47,0,0,0
2022-02-17 11:26:47,0,0,0
2022-02-17 11:36:47,0,0,0
2022-02-17 11:40:56,1,0,0
2022-02-17 11:40:58,1,0,0
2022-02-17 11:42:03,0,0,0
2022-02-17 11:42:05,0,0,0
2022-02-17 11:52:05,0,0,0
2022-02-17 12:02:05,0,0,0
2022-02-17 12:12:05,0,0,0
2022-02-17 12:18:39,1,0,0
2022-02-17 12:18:40,1,0,0
2022-02-17 12:19:49,0,0,0
2022-02-17 12:19:51,0,0,0
2022-02-17 12:22:10,1,0,0
2022-02-17 12:22:11,1,0,0
2022-02-17 12:30:21,0,0,0
2022-02-17 12:30:23,0,0,0
2022-02-17 12:40:23,0,0,0
2022-02-17 12:50:23,0,0,0
2022-02-17 12:51:38,0,0,0
2022-02-17 12:51:40,0,0,0
2022-02-17 13:01:40,0,0,0
2022-02-17 13:11:40,0,0,0
2022-02-17 13:21:40,0,0,0
2022-02-17 13:31:40,0,0,0
2022-02-17 13:41:40,0,0,0
2022-02-17 13:51:40,0,0,0
2022-02-17 14:01:40,0,0,0
2022-02-17 14:11:40,0,0,0
2022-02-17 14:21:40,0,0,0
2022-02-17 14:31:40,0,0,0
2022-02-17 14:41:40,0,0,0
2022-02-17 14:51:40,0,0,0
2022-02-17 15:01:40,0,0,0
2022-02-17 15:11:40,0,0,0
2022-02-17 15:21:40,0,0,0
2022-02-17 15:31:40,0,0,0
2022-02-17 15:41:40,0,0,0
2022-02-17 15:51:40,0,0,0
2022-02-17 16:01:40,0,0,0
2022-02-17 16:11:40,0,0,0
2022-02-17 16:21:40,0,0,0
2022-02-17 16:31:40,0,0,0
2022-02-17 16:41:40,0,0,0
2022-02-17 16:51:40,0,0,0
2022-02-17 17:01:40,0,0,0
2022-02-17 17:11:40,0,0,0
2022-02-17 17:21:40,0,0,0
2022-02-17 17:31:40,0,0,0
2022-02-17 17:41:40,0,0,0
2022-02-17 17:51:40,0,0,0
2022-02-17 18:01:40,0,0,0
2022-02-17 18:11:40,0,0,0
2022-02-17 18:21:40,0,0,0
2022-02-17 18:31:40,0,0,0
2022-02-17 18:41:40,0,0,0
2022-02-17 18:51:40,0,0,0
2022-02-17 19:01:40,0,0,0
2022-02-17 19:11:40,0,0,0
2022-02-17 19:21:40,0,0,0
2022-02-17 19:31:40,0,0,0
2022-02-17 19:41:40,0,0,0
2022-02-17 19:51:40,0,0,0
2022-02-17 20:01:40,0,0,0
2022-02-17 20:11:40,0,0,0
2022-02-17 20:21:40,0,0,0
2022-02-17 20:31:40,0,0,0
2022-02-17 20:41:40,0,0,0
2022-02-17 20:51:40,0,0,0
2022-02-17 21:01:40,0,0,0
2022-02-17 21:11:40,0,0,0
2022-02-17 21:21:40,0,0,0
2022-02-17 21:31:40,0,0,0
2022-02-17 21:41:40,0,0,0
2022-02-17 21:51:39,0,0,0
2022-02-17 22:01:40,0,0,0
2022-02-17 22:11:39,0,0,0
2022-02-17 22:21:39,0,0,0
2022-02-17 22:31:39,0,0,0
2022-02-17 22:41:40,0,0,0
2022-02-17 22:51:39,0,0,0
2022-02-17 23:01:39,0,0,0
2022-02-17 23:11:39,0,0,0
2022-02-17 23:21:39,0,0,0
2022-02-17 23:31:39,0,0,0
2022-02-17 23:41:39,0,0,0
2022-02-17 23:51:40,0,0,0
2022-02-18 00:01:39,0,0,0
2022-02-18 00:11:39,0,0,0
2022-02-18 00:21:39,0,0,0
2022-02-18 00:31:39,0,0,0
2022-02-18 00:41:39,0,0,0
2022-02-18 00:51:39,0,0,0
2022-02-18 01:01:39,0,0,0
2022-02-18 01:11:39,0,0,0
2022-02-18 01:21:39,0,0,0
2022-02-18 01:31:39,0,0,0
2022-02-18 01:41:39,0,0,0
2022-02-18 01:51:40,0,0,0
2022-02-18 02:01:39,0,0,0
2022-02-18 02:11:39,0,0,0
2022-02-18 02:21:39,0,0,0
2022-02-18 02:31:39,0,0,0
2022-02-18 02:41:39,0,0,0
2022-02-18 02:51:39,0,0,0
2022-02-18 03:01:39,0,0,0
2022-02-18 03:11:39,0,0,0
2022-02-18 03:21:39,0,0,0
2022-02-18 03:31:39,0,0,0
2022-02-18 03:41:39,0,0,0
2022-02-18 03:51:39,0,0,0
2022-02-18 04:01:39,0,0,0
2022-02-18 04:11:39,0,0,0
2022-02-18 04:21:39,0,0,0
2022-02-18 04:31:39,0,0,0
2022-02-18 04:41:39,0,0,0
2022-02-18 04:51:39,0,0,0
2022-02-18 05:01:39,0,0,0
2022-02-18 05:11:39,0,0,0
2022-02-18 05:21:39,0,0,0
2022-02-18 05:31:39,0,0,0
2022-02-18 05:41:39,0,0,0
2022-02-18 05:51:39,0,0,0
2022-02-18 06:01:39,0,0,0
2022-02-18 06:11:39,0,0,0
2022-02-18 06:21:39,0,0,0
