ts,data_analogInput_4,data_temperatureSensor_0,data_humiditySensor_1
2022-02-17 00:06:42,0,18.6,66.5
2022-02-17 00:16:42,0,18.5,66.5
2022-02-17 00:26:42,0,18.5,66.5
2022-02-17 00:36:42,0,18.6,66
2022-02-17 00:46:42,0,18.5,66
2022-02-17 00:56:42,0,18.5,66
2022-02-17 01:06:42,0,18.5,66
2022-02-17 01:16:42,0,18.5,66
2022-02-17 01:26:42,0,18.6,65.5
2022-02-17 01:36:42,0,18.6,65.5
2022-02-17 01:46:42,0,18.6,65.5
2022-02-17 01:56:42,0,18.5,65.5
2022-02-17 02:06:42,0,18.5,65.5
2022-02-17 02:16:42,0,18.5,65.5
2022-02-17 02:26:42,0,18.5,65.5
2022-02-17 02:36:42,0,18.5,65.5
2022-02-17 02:46:42,0,18.4,65
2022-02-17 02:56:42,0,18.5,65
2022-02-17 03:06:42,0,18.5,65
2022-02-17 03:16:42,0,18.4,65
2022-02-17 03:26:41,0,18.4,65
2022-02-17 03:36:42,0,18.4,65
2022-02-17 03:46:42,0,18.4,65
2022-02-17 03:56:46,0,18.4,65
2022-02-17 04:06:41,0,18.4,64.5
2022-02-17 04:16:41,0,18.4,64.5
2022-02-17 04:26:41,0,18.4,64.5
2022-02-17 04:36:41,0,18.4,64.5
2022-02-17 04:46:41,0,18.4,64.5
2022-02-17 04:56:41,0,18.4,64.5
2022-02-17 05:06:41,0,18.4,64.5
2022-02-17 05:16:41,0,18.4,64.5
2022-02-17 05:26:41,0,18.4,64.5
2022-02-17 05:36:41,0,18.4,64.5
2022-02-17 05:46:41,0,18.4,64.5
2022-02-17 05:56:41,0,18.4,64.5
2022-02-17 06:06:42,0,18.4,64.5
2022-02-17 06:16:41,0,18.4,64.5
2022-02-17 06:26:41,0,18.4,64.5
2022-02-17 06:36:41,0,18.4,64.5
2022-02-17 06:46:41,0,18.4,64.5
2022-02-17 06:56:41,0,18.4,64.5
2022-02-17 07:06:41,0,18.4,65
2022-02-17 07:16:42,0,18.4,65
