ts,data_presenceSensor_3,data_temperatureSensor_0,data_humiditySensor_1
2022-02-17 00:02:13,0,18.5,68
2022-02-17 00:07:13,0,18.5,68
2022-02-17 00:12:13,0,18.5,68
2022-02-17 00:17:13,0,18.5,68
2022-02-17 00:22:13,0,18.5,68
2022-02-17 00:27:13,0,18.5,68
2022-02-17 00:32:13,0,18.5,68
2022-02-17 00:37:13,0,18.5,68
2022-02-17 00:42:13,0,18.4,68
2022-02-17 00:47:13,0,18.4,68
2022-02-17 00:52:13,0,18.5,67.5
2022-02-17 00:57:13,0,18.4,67.5
2022-02-17 01:02:13,0,18.4,67.5
2022-02-17 01:07:13,0,18.5,67.5
2022-02-17 01:12:13,0,18.4,67.5
2022-02-17 01:17:13,0,18.4,67.5
2022-02-17 01:22:13,0,18.4,67.5
2022-02-17 01:27:13,3,18.5,67.5
2022-02-17 01:32:13,0,18.4,67.5
2022-02-17 01:37:13,0,18.4,67.5
2022-02-17 01:42:13,0,18.4,67.5
2022-02-17 01:47:13,0,18.4,67
2022-02-17 01:52:13,0,18.4,67
2022-02-17 01:57:13,0,18.4,67
2022-02-17 02:02:13,0,18.4,67
2022-02-17 02:07:13,0,18.4,67
2022-02-17 02:12:13,0,18.3,67
2022-02-17 02:17:13,0,18.3,67
2022-02-17 02:22:13,0,18.3,67
2022-02-17 02:27:13,0,18.3,67
2022-02-17 02:32:13,0,18.3,67
2022-02-17 02:37:13,0,18.3,66.5
2022-02-17 02:42:13,0,18.3,66.5
2022-02-17 02:47:13,0,18.3,66.5
2022-02-17 02:52:13,0,18.3,66.5
2022-02-17 02:57:13,0,18.3,66.5
2022-02-17 03:02:13,0,18.3,66.5
2022-02-17 03:07:13,0,18.3,66.5
2022-02-17 03:12:13,0,18.3,66.5
2022-02-17 03:17:13,0,18.3,66.5
2022-02-17 03:22:13,0,18.2,66.5
2022-02-17 03:27:13,0,18.3,66.5
2022-02-17 03:32:13,0,18.2,66.5
2022-02-17 03:37:13,0,18.2,66.5
2022-02-17 03:42:13,0,18.2,66.5
2022-02-17 03:47:13,0,18.2,66.5
2022-02-17 03:52:13,0,18.2,66.5
2022-02-17 03:57:15,0,18.2,66.5
2022-02-17 04:02:13,0,18.2,66.5
2022-02-17 04:07:13,0,18.2,66
2022-02-17 04:12:13,0,18.2,66
2022-02-17 04:17:13,0,18.2,66
2022-02-17 04:22:13,0,18.2,66
2022-02-17 04:27:13,0,18.2,66
2022-02-17 04:32:13,0,18.2,66
2022-02-17 04:37:13,0,18.2,66
2022-02-17 04:42:13,0,18.2,66
2022-02-17 04:47:13,0,18.2,66
2022-02-17 04:52:13,0,18.2,66
2022-02-17 04:57:13,0,18.2,66
2022-02-17 05:02:13,0,18.2,66
2022-02-17 05:07:13,0,18.2,66
2022-02-17 05:12:13,0,18.2,66
2022-02-17 05:17:13,0,18.2,66
2022-02-17 05:22:13,0,18.2,66
2022-02-17 05:27:13,0,18.2,66
2022-02-17 05:32:13,0,18.2,66
2022-02-17 05:37:13,0,18.2,66
2022-02-17 05:42:13,0,18.2,66
2022-02-17 05:47:13,0,18.2,66
2022-02-17 05:52:13,0,18.2,66
2022-02-17 05:57:13,0,18.1,66
2022-02-17 06:02:13,0,18.1,66
2022-02-17 06:07:13,0,18.1,66
2022-02-17 06:12:13,0,18.1,66
2022-02-17 06:17:13,0,18.1,66
2022-02-17 06:22:13,0,18.2,66
2022-02-17 06:27:13,0,18.2,66
2022-02-17 06:32:13,0,18.1,66
2022-02-17 06:37:13,0,18.1,66
2022-02-17 06:42:13,0,18.1,66
2022-02-17 06:47:13,0,18.2,66
2022-02-17 06:52:13,0,18.1,66
2022-02-17 06:57:13,0,18.1,66
2022-02-17 07:02:13,2,18.1,66
2022-02-17 07:07:13,0,18.1,66
2022-02-17 07:12:13,0,18.1,66
2022-02-17 07:17:13,0,18.1,66
2022-02-17 07:22:13,2,18.1,66
2022-02-17 07:27:13,6,18.2,66.5
2022-02-17 07:32:13,2,18.2,66.5
2022-02-17 07:37:13,0,18.3,66.5
2022-02-17 07:42:13,0,18.4,67
2022-02-17 07:47:13,0,18.4,67
2022-02-17 07:52:14,3,18.4,68
2022-02-17 07:57:13,4,18.4,68.5
2022-02-17 08:02:12,1,18.4,69
2022-02-17 08:07:12,0,18.4,69.5
2022-02-17 08:12:12,0,18.4,70
2022-02-17 08:17:12,0,18.4,70.5
2022-02-17 08:22:12,0,18.3,70.5
2022-02-17 08:27:12,0,18.3,70.5
