ts,data_presenceSensor_3,data_temperatureSensor_0,data_humiditySensor_1
2022-02-17 00:00:27,0,0,0
2022-02-17 00:05:27,0,0,0
2022-02-17 00:10:27,0,0,0
2022-02-17 00:15:27,0,0,0
2022-02-17 00:20:27,0,0,0
2022-02-17 00:25:27,0,0,0
2022-02-17 00:30:28,0,0,0
2022-02-17 00:35:27,0,0,0
2022-02-17 00:40:27,0,0,0
2022-02-17 00:45:27,0,0,0
2022-02-17 00:50:27,0,0,0
2022-02-17 00:55:27,0,0,0
2022-02-17 01:00:27,0,0,0
2022-02-17 01:05:27,0,0,0
2022-02-17 01:10:27,4,0,0
2022-02-17 01:15:27,2,0,0
2022-02-17 01:20:27,2,0,0
2022-02-17 01:25:27,5,0,0
2022-02-17 01:30:27,2,0,0
2022-02-17 01:35:27,0,0,0
2022-02-17 01:40:27,0,0,0
2022-02-17 01:45:28,0,0,0
2022-02-17 01:50:27,0,0,0
2022-02-17 01:55:27,0,0,0
2022-02-17 02:00:27,0,0,0
2022-02-17 02:05:27,0,0,0
2022-02-17 02:10:27,0,0,0
2022-02-17 02:15:27,0,0,0
2022-02-17 02:20:27,0,0,0
2022-02-17 02:25:27,0,0,0
2022-02-17 02:30:27,0,0,0
2022-02-17 02:35:27,0,0,0
2022-02-17 02:40:27,0,0,0
2022-02-17 02:45:27,0,0,0
2022-02-17 02:50:27,0,0,0
2022-02-17 02:55:27,0,0,0
2022-02-17 03:00:27,0,0,0
2022-02-17 03:05:27,0,0,0
2022-02-17 03:10:27,0,0,0
2022-02-17 03:15:27,0,0,0
2022-02-17 03:20:27,0,0,0
2022-02-17 03:25:27,0,0,0
2022-02-17 03:30:27,0,0,0
2022-02-17 03:35:27,0,0,0
2022-02-17 03:40:27,0,0,0
2022-02-17 03:45:27,0,0,0
2022-02-17 03:50:27,0,0,0
2022-02-17 03:55:27,0,0,0
2022-02-17 04:00:27,0,0,0
2022-02-17 04:05:27,0,0,0
2022-02-17 04:10:27,0,0,0
2022-02-17 04:15:27,0,0,0
2022-02-17 04:20:27,0,0,0
2022-02-17 04:25:29,0,0,0
2022-02-17 04:30:30,0,0,0
2022-02-17 04:35:27,0,0,0
2022-02-17 04:40:27,0,0,0
2022-02-17 04:45:27,0,0,0
2022-02-17 04:50:27,0,0,0
2022-02-17 04:55:27,0,0,0
2022-02-17 05:00:27,0,0,0
2022-02-17 05:05:27,0,0,0
2022-02-17 05:10:30,0,0,0
2022-02-17 05:15:27,0,0,0
2022-02-17 05:20:27,0,0,0
2022-02-17 05:25:27,0,0,0
2022-02-17 05:30:26,0,0,0
2022-02-17 05:35:27,0,0,0
2022-02-17 05:40:27,0,0,0
2022-02-17 05:45:29,0,0,0
2022-02-17 05:50:28,0,0,0
2022-02-17 05:55:27,0,0,0
2022-02-17 06:00:27,0,0,0
2022-02-17 06:05:26,0,0,0
2022-02-17 06:10:26,0,0,0
2022-02-17 06:15:26,0,0,0
2022-02-17 06:20:27,0,0,0
2022-02-17 06:25:26,0,0,0
2022-02-17 06:30:26,0,0,0
2022-02-17 06:35:27,0,0,0
2022-02-17 06:40:26,0,0,0
2022-02-17 06:45:26,0,0,0
2022-02-17 06:50:26,0,0,0
