ts,data_presenceSensor_3,data_temperatureSensor_0,data_humiditySensor_1
2022-02-17 00:00:07,7,18.5,70.5
2022-02-17 00:05:07,7,18.6,70.5
2022-02-17 00:10:07,1,18.6,70.5
2022-02-17 00:15:07,0,18.6,70.5
2022-02-17 00:20:07,0,18.6,70.5
2022-02-17 00:25:07,2,18.6,70.5
2022-02-17 00:30:07,0,18.5,70.5
2022-02-17 00:35:07,1,18.5,70.5
2022-02-17 00:40:07,9,18.6,70
2022-02-17 00:45:07,8,18.6,70
2022-02-17 00:50:07,4,18.6,70
2022-02-17 00:55:07,0,18.6,70
2022-02-17 01:00:07,0,18.6,70
2022-02-17 01:05:07,5,18.6,70
2022-02-17 01:10:07,6,18.7,70
2022-02-17 01:15:07,3,18.6,70
2022-02-17 01:20:07,0,18.6,70
2022-02-17 01:25:07,0,18.6,70
2022-02-17 01:30:07,0,18.6,70
2022-02-17 01:35:07,0,18.6,69.5
2022-02-17 01:40:07,0,18.6,69.5
2022-02-17 01:45:07,0,18.6,69.5
2022-02-17 01:50:07,0,18.5,69.5
2022-02-17 01:55:07,0,18.5,69.5
2022-02-17 02:00:07,0,18.5,69.5
2022-02-17 02:05:07,0,18.5,69.5
2022-02-17 02:10:07,0,18.5,69.5
2022-02-17 02:15:07,0,18.5,69
2022-02-17 02:20:07,0,18.5,69
2022-02-17 02:25:07,0,18.4,69
2022-02-17 02:30:07,0,18.4,69
2022-02-17 02:35:07,0,18.4,69
2022-02-17 02:40:07,0,18.4,69
2022-02-17 02:45:07,0,18.4,69
2022-02-17 02:50:07,0,18.4,69
2022-02-17 02:55:07,0,18.4,69
2022-02-17 03:00:07,0,18.4,68.5
2022-02-17 03:05:07,0,18.4,69
2022-02-17 03:10:07,0,18.4,68.5
2022-02-17 03:15:07,0,18.4,68.5
2022-02-17 03:20:07,0,18.4,68.5
2022-02-17 03:25:07,0,18.4,68.5
2022-02-17 03:30:07,0,18.4,68.5
2022-02-17 03:35:07,0,18.4,68.5
2022-02-17 03:40:07,0,18.4,68.5
2022-02-17 03:45:08,0,18.4,68.5
2022-02-17 03:50:07,0,18.4,68.5
2022-02-17 03:55:07,0,18.4,68.5
2022-02-17 04:00:07,0,18.3,68.5
2022-02-17 04:05:07,0,18.3,68.5
2022-02-17 04:10:07,0,18.3,68.5
2022-02-17 04:15:07,0,18.3,68.5
2022-02-17 04:20:07,0,18.3,68.5
2022-02-17 04:25:07,0,18.3,68.5
2022-02-17 04:30:07,0,18.3,68.5
2022-02-17 04:35:07,0,18.3,68.5
2022-02-17 04:40:07,0,18.3,68.5
2022-02-17 04:45:07,0,18.3,68.5
2022-02-17 04:50:07,0,18.3,68.5
2022-02-17 04:55:07,0,18.3,68.5
2022-02-17 05:00:07,0,18.3,68.5
2022-02-17 05:05:07,0,18.3,68.5
2022-02-17 05:10:07,0,18.3,68.5
2022-02-17 05:15:07,0,18.3,68.5
2022-02-17 05:20:08,0,18.3,68.5
2022-02-17 05:25:07,0,18.3,68.5
2022-02-17 05:30:07,0,18.3,68.5
2022-02-17 05:35:07,0,18.3,68.5
2022-02-17 05:40:07,0,18.3,68.5
2022-02-17 05:45:07,0,18.3,68.5
2022-02-17 05:50:07,0,18.3,68.5
2022-02-17 05:55:07,0,18.3,68.5
2022-02-17 06:00:07,0,18.3,68.5
2022-02-17 06:05:07,0,18.3,68.5
2022-02-17 06:10:07,0,18.3,68.5
2022-02-17 06:15:07,0,18.2,68.5
2022-02-17 06:20:09,0,18.3,68.5
2022-02-17 06:25:07,0,18.3,68.5
2022-02-17 06:30:08,0,18.3,68.5
2022-02-17 06:35:07,0,18.3,68.5
2022-02-17 06:40:07,0,18.2,68.5
2022-02-17 06:45:07,0,18.2,68.5
2022-02-17 06:50:07,0,18.2,68.5
2022-02-17 06:55:07,0,18.2,68.5
2022-02-17 07:00:07,0,18.2,68.5
2022-02-17 07:05:07,0,18.2,68.5
2022-02-17 07:10:07,0,18.3,68.5
2022-02-17 07:15:07,0,18.2,68.5
2022-02-17 07:20:07,0,18.2,68.5
2022-02-17 07:25:09,0,18.2,68.5
2022-02-17 07:30:07,0,18.2,68.5
2022-02-17 07:35:08,0,18.2,68.5
2022-02-17 07:40:07,0,18.3,69
2022-02-17 07:45:07,0,18.3,69
2022-02-17 07:50:07,0,18.3,69.5
2022-02-17 07:55:07,0,18.3,70.5
2022-02-17 08:00:07,0,18.3,71
2022-02-17 08:05:07,4,18.3,72
2022-02-17 08:10:08,0,18.3,72
2022-02-17 08:15:07,0,18.3,72.5
2022-02-17 08:20:07,0,18.3,72.5
2022-02-17 08:25:07,0,18.3,72.5
2022-02-17 08:30:07,0,18.3,73
2022-02-17 08:35:07,0,18.3,73
2022-02-17 08:40:07,0,18.3,73
2022-02-17 08:45:07,0,18.3,73
2022-02-17 08:50:07,0,18.3,73
2022-02-17 08:55:07,0,18.3,73
2022-02-17 09:00:07,0,18.3,73
2022-02-17 09:05:07,0,18.3,73
2022-02-17 09:10:07,0,18.3,73
2022-02-17 09:15:07,0,18.3,73
2022-02-17 09:20:07,0,18.3,73
2022-02-17 09:25:07,0,18.3,73
2022-02-17 09:30:07,1,18.4,73
2022-02-17 09:35:07,0,18.3,73.5
2022-02-17 09:40:07,0,18.3,73
2022-02-17 09:45:07,0,18.3,73.5
2022-02-17 09:50:07,0,18.3,73.5
2022-02-17 09:55:07,0,18.4,73.5
2022-02-17 10:00:07,0,18.3,73.5
2022-02-17 10:05:07,0,18.3,73.5
2022-02-17 10:10:07,0,18.4,73.5
2022-02-17 10:15:07,0,18.4,73.5
2022-02-17 10:20:07,0,18.4,73.5
2022-02-17 10:25:07,0,18.4,73.5
