ts,data_presenceSensor_3,data_temperatureSensor_0,data_humiditySensor_1
2022-02-17 00:02:26,0,0,0
2022-02-17 00:07:26,0,0,0
2022-02-17 00:12:26,0,0,0
2022-02-17 00:17:26,0,0,0
2022-02-17 00:22:26,0,0,0
2022-02-17 00:27:26,0,0,0
2022-02-17 00:32:26,0,0,0
2022-02-17 00:37:26,0,0,0
2022-02-17 00:42:26,0,0,0
2022-02-17 00:47:26,0,0,0
2022-02-17 00:52:26,0,0,0
2022-02-17 00:57:26,0,0,0
2022-02-17 01:02:26,0,0,0
2022-02-17 01:07:26,0,0,0
2022-02-17 01:12:26,0,0,0
2022-02-17 01:17:26,0,0,0
2022-02-17 01:22:26,0,0,0
2022-02-17 01:27:26,0,0,0
2022-02-17 01:32:26,0,0,0
2022-02-17 01:37:26,0,0,0
2022-02-17 01:42:26,0,0,0
2022-02-17 01:47:26,0,0,0
2022-02-17 01:52:26,0,0,0
2022-02-17 01:57:26,0,0,0
2022-02-17 02:02:26,0,0,0
2022-02-17 02:07:26,0,0,0
2022-02-17 02:12:26,0,0,0
2022-02-17 02:17:26,0,0,0
2022-02-17 02:22:26,0,0,0
2022-02-17 02:27:26,0,0,0
2022-02-17 02:32:26,0,0,0
2022-02-17 02:37:26,0,0,0
2022-02-17 02:42:26,0,0,0
2022-02-17 02:47:26,0,0,0
2022-02-17 02:52:26,0,0,0
2022-02-17 02:57:26,0,0,0
2022-02-17 03:02:26,0,0,0
2022-02-17 03:07:26,0,0,0
2022-02-17 03:12:26,0,0,0
2022-02-17 03:17:26,0,0,0
2022-02-17 03:22:26,0,0,0
2022-02-17 03:27:26,0,0,0
2022-02-17 03:32:26,0,0,0
2022-02-17 03:37:26,0,0,0
2022-02-17 03:42:26,0,0,0
2022-02-17 03:47:26,0,0,0
2022-02-17 03:52:26,0,0,0
2022-02-17 03:57:33,0,0,0
2022-02-17 04:02:26,0,0,0
2022-02-17 04:07:26,0,0,0
2022-02-17 04:12:26,0,0,0
2022-02-17 04:17:26,0,0,0
2022-02-17 04:22:26,0,0,0
2022-02-17 04:27:26,0,0,0
2022-02-17 04:32:26,0,0,0
2022-02-17 04:37:26,0,0,0
2022-02-17 04:42:26,0,0,0
2022-02-17 04:47:26,0,0,0
2022-02-17 04:52:26,0,0,0
2022-02-17 04:57:26,0,0,0
2022-02-17 05:02:26,0,0,0
2022-02-17 05:07:26,0,0,0
2022-02-17 05:12:26,0,0,0
2022-02-17 05:17:26,0,0,0
2022-02-17 05:22:26,0,0,0
2022-02-17 05:27:26,0,0,0
2022-02-17 05:32:26,0,0,0
2022-02-17 05:37:26,0,0,0
2022-02-17 05:42:26,0,0,0
2022-02-17 05:47:26,0,0,0
2022-02-17 05:52:25,0,0,0
2022-02-17 05:57:26,0,0,0
2022-02-17 06:02:26,0,0,0
2022-02-17 06:07:26,0,0,0
2022-02-17 06:12:26,0,0,0
2022-02-17 06:17:26,0,0,0
2022-02-17 06:22:26,0,0,0
2022-02-17 06:27:26,0,0,0
2022-02-17 06:32:26,0,0,0
2022-02-17 06:37:25,0,0,0
2022-02-17 06:42:25,0,0,0
2022-02-17 06:47:25,0,0,0
2022-02-17 06:52:25,0,0,0
2022-02-17 06:57:25,0,0,0
2022-02-17 07:02:25,0,0,0
2022-02-17 07:07:25,0,0,0
2022-02-17 07:12:25,0,0,0
2022-02-17 07:17:25,0,0,0
2022-02-17 07:22:25,0,0,0
2022-02-17 07:27:27,0,0,0
2022-02-17 07:32:25,0,0,0
2022-02-17 07:37:25,0,0,0
2022-02-17 07:42:25,0,0,0
2022-02-17 07:47:25,0,0,0
2022-02-17 07:52:26,0,0,0
2022-02-17 07:57:25,0,0,0
2022-02-17 08:02:25,0,0,0
2022-02-17 08:07:25,0,0,0
2022-02-17 08:12:25,0,0,0
2022-02-17 08:17:25,0,0,0
2022-02-17 08:22:25,0,0,0
2022-02-17 08:27:25,0,0,0
2022-02-17 08:32:25,0,0,0
2022-02-17 08:37:25,0,0,0
2022-02-17 08:42:25,0,0,0
2022-02-17 08:47:25,0,0,0
2022-02-17 08:52:25,0,0,0
2022-02-17 08:57:25,0,0,0
2022-02-17 09:02:25,0,0,0
2022-02-17 09:07:25,0,0,0
2022-02-17 09:12:25,0,0,0
2022-02-17 09:17:25,0,0,0
2022-02-17 09:22:25,0,0,0
2022-02-17 09:27:25,0,0,0
2022-02-17 09:32:25,0,0,0
2022-02-17 09:37:25,0,0,0
2022-02-17 09:42:25,0,0,0
2022-02-17 09:47:25,0,0,0
2022-02-17 09:52:25,0,0,0
2022-02-17 09:57:25,0,0,0
2022-02-17 10:02:25,0,0,0
2022-02-17 10:07:25,0,0,0
2022-02-17 10:12:25,0,0,0
2022-02-17 10:17:25,0,0,0
2022-02-17 10:22:25,0,0,0
2022-02-17 10:27:25,0,0,0
2022-02-17 10:32:25,0,0,0
2022-02-17 10:37:25,0,0,0
2022-02-17 10:42:25,0,0,0
2022-02-17 10:47:25,0,0,0
2022-02-17 10:52:25,0,0,0
2022-02-17 10:57:25,0,0,0
2022-02-17 11:02:25,0,0,0
2022-02-17 11:07:25,0,0,0
2022-02-17 11:12:25,0,0,0
2022-02-17 11:17:25,0,0,0
2022-02-17 11:22:25,0,0,0
2022-02-17 11:27:25,0,0,0
2022-02-17 11:32:25,0,0,0
2022-02-17 11:37:25,0,0,0
2022-02-17 11:42:25,0,0,0
2022-02-17 11:47:25,0,0,0
2022-02-17 11:52:25,0,0,0
2022-02-17 11:57:25,0,0,0
2022-02-17 12:02:25,0,0,0
2022-02-17 12:07:25,0,0,0
2022-02-17 12:12:25,0,0,0
2022-02-17 12:17:25,0,0,0
2022-02-17 12:22:26,0,0,0
2022-02-17 12:27:25,0,0,0
2022-02-17 12:32:25,0,0,0
2022-02-17 12:37:25,0,0,0
2022-02-17 12:42:25,0,0,0
2022-02-17 12:47:25,0,0,0
2022-02-17 12:52:25,0,0,0
2022-02-17 12:57:25,0,0,0
2022-02-17 13:02:25,0,0,0
2022-02-17 13:07:25,0,0,0
2022-02-17 13:12:25,0,0,0
2022-02-17 13:17:25,0,0,0
2022-02-17 13:22:25,0,0,0
2022-02-17 13:27:25,0,0,0
2022-02-17 13:32:25,0,0,0
2022-02-17 13:37:25,0,0,0
2022-02-17 13:42:25,0,0,0
2022-02-17 13:47:25,0,0,0
2022-02-17 13:52:25,0,0,0
2022-02-17 13:57:25,0,0,0
2022-02-17 14:02:25,0,0,0
2022-02-17 14:07:25,0,0,0
2022-02-17 14:12:25,0,0,0
2022-02-17 14:17:25,0,0,0
2022-02-17 14:22:25,0,0,0
2022-02-17 14:27:25,0,0,0
2022-02-17 14:32:25,0,0,0
2022-02-17 14:37:25,0,0,0
2022-02-17 14:42:25,0,0,0
2022-02-17 14:47:25,0,0,0
2022-02-17 14:52:25,0,0,0
