ts,data_analogInput_3,data_temperatureSensor_0,data_humiditySensor_1
2022-02-17 00:01:09,0.39,21.1,55
2022-02-17 00:06:09,0.27,21.1,55
2022-02-17 00:11:09,0.39,21.1,55
2022-02-17 00:16:09,0.39,21.1,55
2022-02-17 00:21:09,0.39,21.1,55
2022-02-17 00:26:09,0.39,21.1,55
2022-02-17 00:31:09,0.39,21.1,55
2022-02-17 00:36:09,0.39,21.1,55
2022-02-17 00:41:09,0.39,21.1,55
2022-02-17 00:46:09,0.39,21.1,55
2022-02-17 00:51:09,0.33,21.1,55
2022-02-17 00:56:09,0.39,21.1,55
2022-02-17 01:01:09,0.39,21.1,55
2022-02-17 01:06:09,0.39,21.1,55
2022-02-17 01:11:09,0.39,21.1,55
2022-02-17 01:16:09,0.39,21.1,55
2022-02-17 01:21:09,0.03,21.1,55
2022-02-17 01:26:09,0.03,21,55
2022-02-17 01:31:09,0.03,21.1,55
2022-02-17 01:36:09,0.03,21,55
2022-02-17 01:41:09,0.03,21,55
2022-02-17 01:46:09,0.03,21,55
2022-02-17 01:51:09,0.03,20.9,55
2022-02-17 01:56:09,0.03,20.9,55
2022-02-17 02:01:09,0.03,20.9,55
2022-02-17 02:06:09,0.03,20.9,55
2022-02-17 02:11:09,0.03,20.8,55
2022-02-17 02:16:09,0.03,20.8,55
2022-02-17 02:21:09,0.03,20.7,55
2022-02-17 02:26:09,0.03,20.7,55
2022-02-17 02:31:09,0.03,20.7,55
2022-02-17 02:36:09,0.03,20.7,55
2022-02-17 02:41:09,0.03,20.6,55
2022-02-17 02:46:09,0.03,20.6,55
2022-02-17 02:51:09,0.03,20.6,55
2022-02-17 02:56:09,0.03,20.6,55
2022-02-17 03:01:09,0.03,20.6,55
2022-02-17 03:06:09,0.03,20.6,55
2022-02-17 03:11:09,0.03,20.6,55
2022-02-17 03:16:09,0.03,20.5,55
2022-02-17 03:21:09,0.03,20.5,55
2022-02-17 03:26:09,0.03,20.5,55
2022-02-17 03:31:09,0.03,20.5,55
2022-02-17 03:36:09,0.03,20.5,55
2022-02-17 03:41:09,0.03,20.5,55
2022-02-17 03:46:09,0.03,20.4,55
2022-02-17 03:51:09,0.03,20.4,55
2022-02-17 03:56:09,0.03,20.4,55
2022-02-17 04:01:09,0.03,20.4,55
2022-02-17 04:06:09,0.03,20.4,55
2022-02-17 04:11:09,0.03,20.4,55
2022-02-17 04:16:09,0.03,20.4,55
2022-02-17 04:21:08,0.03,20.4,55
2022-02-17 04:26:09,0.03,20.4,55
2022-02-17 04:31:09,0.03,20.4,55
2022-02-17 04:36:09,0.03,20.4,55
2022-02-17 04:41:08,0.03,20.4,55
2022-02-17 04:46:08,0.03,20.3,55
2022-02-17 04:51:09,0.03,20.3,55
2022-02-17 04:56:08,0.03,20.3,55
2022-02-17 05:01:09,0.03,20.3,55
2022-02-17 05:06:08,0.03,20.3,55
2022-02-17 05:11:09,0.03,20.3,55
2022-02-17 05:16:08,0.03,20.3,55
2022-02-17 05:21:08,0.03,20.3,55
2022-02-17 05:26:08,0.03,20.3,55
2022-02-17 05:31:08,0.03,20.3,55
2022-02-17 05:36:08,0.03,20.3,55
2022-02-17 05:41:08,0.03,20.3,55
2022-02-17 05:46:08,0.03,20.3,55
2022-02-17 05:51:08,0.03,20.3,55
2022-02-17 05:56:08,0.03,20.3,55
2022-02-17 06:01:08,0.03,20.3,55
2022-02-17 06:06:08,0.03,20.3,55
2022-02-17 06:11:08,0.03,20.3,55
2022-02-17 06:16:08,0.04,20.3,55
2022-02-17 06:21:08,0.03,20.3,55
2022-02-17 06:26:08,0.04,20.3,55
2022-02-17 06:31:09,0.03,20.3,55
2022-02-17 06:36:08,0.03,20.3,55
2022-02-17 06:41:08,0.03,20.3,55
2022-02-17 06:46:08,0.03,20.3,55
2022-02-17 06:51:08,0.03,20.3,55
2022-02-17 06:56:08,0.03,20.3,55
2022-02-17 07:01:08,0.03,20.3,55
2022-02-17 07:06:08,0.03,20.3,55
2022-02-17 07:11:08,0.04,20.3,55
2022-02-17 07:16:08,0.03,20.3,55
2022-02-17 07:21:08,0.03,20.3,55
2022-02-17 07:26:08,0.03,20.3,55
2022-02-17 07:31:08,0.03,20.3,55
2022-02-17 07:36:08,0.03,20.3,55.5
2022-02-17 07:41:08,0.03,20.3,55.5
2022-02-17 07:46:08,0.03,20.3,55.5
2022-02-17 07:51:08,0.03,20.3,56
2022-02-17 07:56:08,0.03,20.3,56.5
2022-02-17 08:01:08,0.03,20.3,56.5
2022-02-17 08:06:08,0.03,20.3,56.5
2022-02-17 08:11:08,0.03,20.3,57
2022-02-17 08:16:08,0.03,20.3,57
2022-02-17 08:21:08,0.03,20.3,57
2022-02-17 08:26:08,0.03,20.4,57
2022-02-17 08:31:08,0.03,20.4,57
2022-02-17 08:36:08,0.03,20.4,57
2022-02-17 08:41:08,0.03,20.4,57.5
2022-02-17 08:46:08,0.03,20.4,57.5
2022-02-17 08:51:08,0.04,20.4,57.5
2022-02-17 08:56:08,0.03,20.4,57.5
2022-02-17 09:01:08,0.03,20.3,57.5
2022-02-17 09:06:08,0.04,20.4,57.5
2022-02-17 09:11:08,0.03,20.3,57.5
2022-02-17 09:16:08,0.03,20.3,57.5
2022-02-17 09:21:08,0.03,20.4,57.5
2022-02-17 09:26:08,0.03,20.4,57.5
2022-02-17 09:31:08,0.03,20.3,57.5
2022-02-17 09:36:08,0.03,20.4,57.5
2022-02-17 09:41:08,0.03,20.4,57.5
2022-02-17 09:46:08,0.03,20.4,57.5
2022-02-17 09:51:08,0.03,20.4,57.5
2022-02-17 09:56:08,0.03,20.4,57.5
2022-02-17 10:01:08,0.03,20.4,57.5
2022-02-17 10:06:08,0.03,20.4,57.5
2022-02-17 10:11:08,0.03,20.4,57.5
2022-02-17 10:16:08,0.03,20.4,57.5
2022-02-17 10:21:08,0.03,20.4,57.5
2022-02-17 10:26:08,0.04,20.4,57.5
2022-02-17 10:31:08,0.03,20.5,57.5
2022-02-17 10:36:08,0.03,20.5,57.5
2022-02-17 10:41:08,0.03,20.5,57.5
2022-02-17 10:46:08,0.04,20.5,57.5
2022-02-17 10:51:08,0.03,20.5,57.5
2022-02-17 10:56:08,0.03,20.5,57.5
2022-02-17 11:01:08,0.03,20.5,57.5
2022-02-17 11:06:08,0.03,20.6,57.5
2022-02-17 11:11:08,0.03,20.6,57.5
2022-02-17 11:16:08,0.03,20.6,57.5
2022-02-17 11:21:08,0.03,20.6,57.5
2022-02-17 11:26:08,0.03,20.6,57.5
2022-02-17 11:31:08,0.03,20.6,57.5
2022-02-17 11:36:08,0.04,20.6,57.5
2022-02-17 11:41:08,0.04,20.6,57.5
2022-02-17 11:46:08,0.03,20.6,57.5
2022-02-17 11:51:08,0.03,20.6,57.5
2022-02-17 11:56:08,0.03,20.6,57.5
2022-02-17 12:01:08,0.04,20.6,57.5
2022-02-17 12:06:08,0.03,20.6,57.5
2022-02-17 12:11:08,0.03,20.6,57.5
2022-02-17 12:16:08,0.04,20.6,57.5
2022-02-17 12:21:08,0.03,20.7,57.5
2022-02-17 12:26:08,0.03,20.7,57.5
2022-02-17 12:31:08,0.03,20.7,57.5
2022-02-17 12:36:08,0.03,20.7,57.5
2022-02-17 12:41:08,0.03,20.7,57.5
2022-02-17 12:46:08,0.04,20.7,57.5
2022-02-17 12:51:08,0.03,20.7,57.5
2022-02-17 12:56:08,0.03,20.7,57.5
2022-02-17 13:01:08,0.03,20.7,57.5
2022-02-17 13:06:08,0.03,20.7,57.5
2022-02-17 13:11:08,0.03,20.7,57.5
2022-02-17 13:16:08,0.03,20.7,57.5
2022-02-17 13:21:08,0.03,20.7,57.5
2022-02-17 13:26:08,0.03,20.7,57.5
2022-02-17 13:31:08,0.04,20.7,57.5
2022-02-17 13:36:08,0.03,20.7,58
2022-02-17 13:41:08,0.03,20.7,58
2022-02-17 13:46:08,0.03,20.7,58
2022-02-17 13:51:08,0.04,20.7,58
2022-02-17 13:56:08,0.4,20.7,57.5
2022-02-17 14:01:08,0.41,20.8,58
2022-02-17 14:06:08,0.41,20.8,58
2022-02-17 14:11:08,0.41,20.8,58
2022-02-17 14:16:08,0.4,20.8,57.5
2022-02-17 14:21:08,0.41,20.9,57.5
2022-02-17 14:26:08,0.4,20.9,57.5
2022-02-17 14:31:08,0.4,20.9,57.5
2022-02-17 14:36:08,0.41,21,57.5
2022-02-17 14:41:08,0.4,21,57.5
2022-02-17 14:46:08,0.41,21.1,57.5
2022-02-17 14:51:08,0.4,21.1,57.5
2022-02-17 14:56:08,0.4,21.1,57.5
2022-02-17 15:01:08,0.4,21.1,57.5
2022-02-17 15:06:08,0.4,21.2,57.5
2022-02-17 15:11:08,0.4,21.2,57.5
2022-02-17 15:16:08,0.4,21.2,57.5
