ts,data_temperatureSensor_0,data_humiditySensor_1
2022-02-17 00:04:13,18.5,70
2022-02-17 00:09:13,18.5,69.5
2022-02-17 00:14:13,18.5,69.5
2022-02-17 00:19:13,18.5,69.5
2022-02-17 00:24:13,18.4,69
2022-02-17 00:29:13,18.4,69
2022-02-17 00:34:13,18.4,69
2022-02-17 00:39:13,18.4,69.5
2022-02-17 00:44:13,18.4,69.5
2022-02-17 00:49:13,18.4,70
2022-02-17 00:54:13,18.4,70.5
2022-02-17 00:59:13,18.4,70
2022-02-17 01:04:13,18.4,69.5
2022-02-17 01:09:13,18.4,69
2022-02-17 01:14:13,18.4,69.5
2022-02-17 01:19:13,18.4,69
2022-02-17 01:24:13,18.4,69
2022-02-17 01:29:13,18.4,69
2022-02-17 01:34:13,18.4,68.5
2022-02-17 01:39:13,18.4,68.5
2022-02-17 01:44:13,18.4,68.5
2022-02-17 01:49:13,18.4,68.5
2022-02-17 01:54:14,18.4,68.5
2022-02-17 01:59:13,18.3,68.5
2022-02-17 02:04:13,18.3,68.5
2022-02-17 02:09:13,18.3,68.5
2022-02-17 02:14:13,18.3,68.5
2022-02-17 02:19:13,18.3,68
2022-02-17 02:24:13,18.3,68
2022-02-17 02:29:13,18.3,68
2022-02-17 02:34:13,18.3,68
2022-02-17 02:39:13,18.3,68.5
2022-02-17 02:44:13,18.3,68
2022-02-17 02:49:13,18.3,68
2022-02-17 02:54:13,18.3,67.5
2022-02-17 02:59:13,18.3,67.5
2022-02-17 03:04:13,18.2,67.5
2022-02-17 03:09:13,18.3,67.5
2022-02-17 03:14:13,18.2,67.5
2022-02-17 03:19:13,18.2,67.5
2022-02-17 03:24:13,18.2,68
2022-02-17 03:29:13,18.2,68
2022-02-17 03:34:13,18.2,67.5
2022-02-17 03:39:13,18.2,67.5
2022-02-17 03:44:13,18.2,67.5
2022-02-17 03:49:13,18.2,68
2022-02-17 03:54:13,18.2,67.5
2022-02-17 03:59:14,18.3,67.5
2022-02-17 04:04:13,18.2,67.5
2022-02-17 04:09:13,18.2,67.5
2022-02-17 04:14:13,18.2,67.5
2022-02-17 04:19:13,18.2,67.5
2022-02-17 04:24:13,18.2,67.5
2022-02-17 04:29:13,18.2,67.5
2022-02-17 04:34:13,18.2,67.5
2022-02-17 04:39:13,18.2,67.5
2022-02-17 04:44:13,18.2,67.5
2022-02-17 04:49:13,18.2,67.5
2022-02-17 04:54:13,18.2,67.5
2022-02-17 04:59:13,18.2,67.5
2022-02-17 05:04:13,18.1,67.5
2022-02-17 05:09:13,18.2,67.5
2022-02-17 05:14:13,18.2,67.5
2022-02-17 05:19:12,18.2,68
2022-02-17 05:24:12,18.2,67.5
2022-02-17 05:29:13,18.2,67.5
2022-02-17 05:34:12,18.2,67.5
2022-02-17 05:39:13,18.2,67.5
2022-02-17 05:44:13,18.2,67.5
2022-02-17 05:49:13,18.2,67.5
2022-02-17 05:54:12,18.1,67.5
2022-02-17 05:59:12,18.2,67.5
2022-02-17 06:04:12,18.1,67.5
2022-02-17 06:09:12,18.1,67.5
2022-02-17 06:14:12,18.2,67.5
2022-02-17 06:19:12,18.2,67.5
2022-02-17 06:24:12,18.2,67.5
2022-02-17 06:29:12,18.1,67.5
2022-02-17 06:34:12,18.2,67.5
2022-02-17 06:39:12,18.2,67.5
2022-02-17 06:44:12,18.2,67.5
2022-02-17 06:49:12,18.2,67.5
2022-02-17 06:54:12,18.1,67.5
